universal_id,source_dataset,source_doi,domain_family,response_type,ucs_kpa,cbr_pct,cbr_condition,curing_days,soil_id,soil_class,soil_location,sand_pct,silt_pct,clay_pct,gravel_pct,ll_pct,pl_pct,pi_pct,specific_gravity,omc_pct,mdd_gcm3,water_content_pct,dry_density_gcm3,cement_pct,lime_pct,fly_ash_pct,ggbs_pct,rice_husk_ash_pct,pond_ash_pct,marble_powder_pct,harha_pct,fgd_gypsum_pct,biopolymer_pct,xanthan_gum_pct,guar_gum_pct,chitosan_pct,lignin_pct,fiber_pct,polypropylene_pct,jute_pct,waste_plastic_pct,sludge_pct,coconut_shell_pct,naoh_pct,na2sio3_pct,alkali_activator_pct,water_binder_ratio,compaction_rate_mm_min,ucs_class,ucs_high_binary,kgco2e_per_100kg_soil,source_baseline,gain,gain_per_co2,pareto_response,cbr_class,cbr_pass_8
UCDV1_02673,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.1,,,,,,,,,,66.0,21.0,45.0,,16.0,1.25,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,0.004,8.0,0.09999999999999964,24.99999999999991,CBR,usable_8_20,1.0
UCDV1_02674,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.1,,,,,,,,,,66.0,21.0,45.0,,16.0,1.25,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,0.004,8.0,0.09999999999999964,24.99999999999991,CBR,usable_8_20,1.0
UCDV1_02675,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.2,,,,,,,,,,65.7,20.9,44.8,,16.1,1.27,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,0.008,8.0,0.1999999999999993,24.99999999999991,CBR,usable_8_20,1.0
UCDV1_02676,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.2,,,,,,,,,,65.7,20.9,44.8,,16.1,1.27,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,0.008,8.0,0.1999999999999993,24.99999999999991,CBR,usable_8_20,1.0
UCDV1_02679,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.3,,,,,,,,,,65.3,20.8,44.5,,16.3,1.28,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,0.016,8.0,0.3000000000000007,18.750000000000043,CBR,usable_8_20,1.0
UCDV1_02680,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.3,,,,,,,,,,65.3,20.8,44.5,,16.3,1.28,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,0.016,8.0,0.3000000000000007,18.750000000000043,CBR,usable_8_20,1.0
UCDV1_02681,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.5,,,,,,,,,,65.0,21.0,44.0,,16.4,1.3,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.02,8.0,0.5,25.0,CBR,usable_8_20,1.0
UCDV1_02682,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.5,,,,,,,,,,65.0,21.0,44.0,,16.4,1.3,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,0.02,8.0,0.5,25.0,CBR,usable_8_20,1.0
UCDV1_02683,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.55,,,,,,,,,,64.8,20.8,44.0,,16.4,1.31,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.024,8.0,0.5500000000000007,22.916666666666696,CBR,usable_8_20,1.0
UCDV1_02684,Scientific Reports supplementary table - HARHA-treated expansive soil CBR,10.1038/s41598-023-40903-1,mixed_stabilized_soil,CBR,,8.55,,,,,,,,,,64.8,20.8,44.0,,16.4,1.31,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,0.024,8.0,0.5500000000000007,22.916666666666696,CBR,usable_8_20,1.0
