scenario_factor,EC_mix_kgCO2e_m3,rho_d_kg_m3
0.8,1020.2600000000001,1835.0
0.8,1236.3496000000002,1835.0
0.8,1195.8328,1835.0
0.8,1155.316,1835.0
0.8,1087.788,1835.0
0.8,1020.2600000000001,1835.0
0.8,1082.912,1720.0
0.8,1082.912,1720.0
0.8,1082.912,1720.0
0.8,1082.912,1720.0
0.8,1070.2528000000002,1720.0
0.8,1057.5936000000002,1720.0
0.8,1044.9344,1720.0
0.8,1032.2752000000003,1720.0
0.8,1019.6160000000001,1720.0
0.8,1082.912,1720.0
0.8,1082.912,1720.0
0.8,1082.912,1720.0
0.8,1082.912,1720.0
0.8,1070.2528000000002,1720.0
0.8,1057.5936000000002,1720.0
0.8,1044.9344,1720.0
0.8,1032.2752000000003,1720.0
0.8,1019.6160000000001,1720.0
0.8,1082.912,1720.0
0.8,1082.912,1720.0
0.8,1082.912,1720.0
0.8,1082.912,1720.0
0.8,1070.2528000000002,1720.0
0.8,1057.5936000000002,1720.0
0.8,1044.9344,1720.0
0.8,1032.2752000000003,1720.0
0.8,1019.6160000000001,1720.0
0.8,606.0400000000001,1090.0
0.8,612.1440000000001,1090.0
0.8,618.248,1090.0
0.8,624.3520000000001,1090.0
0.8,630.4560000000001,1090.0
0.8,606.0400000000001,1090.0
0.8,606.912,1090.0
0.8,607.7840000000001,1090.0
0.8,608.6560000000001,1090.0
0.8,609.5280000000001,1090.0
0.8,606.0400000000001,1090.0
0.8,612.1440000000001,1090.0
0.8,618.248,1090.0
0.8,624.3520000000001,1090.0
0.8,630.4560000000001,1090.0
0.8,606.0400000000001,1090.0
0.8,606.912,1090.0
0.8,607.7840000000001,1090.0
0.8,608.6560000000001,1090.0
0.8,609.5280000000001,1090.0
0.8,606.0400000000001,1090.0
0.8,612.1440000000001,1090.0
0.8,618.248,1090.0
0.8,624.3520000000001,1090.0
0.8,630.4560000000001,1090.0
0.8,606.0400000000001,1090.0
0.8,606.912,1090.0
0.8,607.7840000000001,1090.0
0.8,608.6560000000001,1090.0
0.8,609.5280000000001,1090.0
0.8,606.0400000000001,1090.0
0.8,612.1440000000001,1090.0
0.8,618.248,1090.0
0.8,624.3520000000001,1090.0
0.8,630.4560000000001,1090.0
0.8,606.0400000000001,1090.0
0.8,612.1440000000001,1090.0
0.8,618.248,1090.0
0.8,624.3520000000001,1090.0
0.8,630.4560000000001,1090.0
0.8,606.0400000000001,1090.0
0.8,612.1440000000001,1090.0
0.8,618.248,1090.0
0.8,624.3520000000001,1090.0
0.8,630.4560000000001,1090.0
0.8,593.7624000000001,891.0
0.8,560.9736,891.0
0.8,548.485344,891.0
0.8,528.2418240000001,891.0
0.8,601.74576,891.0
0.8,560.9736,891.0
0.8,544.8928320000001,891.0
0.8,523.8509760000001,891.0
0.8,599.7499200000001,891.0
0.8,572.9486400000001,891.0
0.8,541.30032,891.0
0.8,519.460128,891.0
0.8,597.75408,891.0
0.8,569.95488,891.0
0.8,555.670368,891.0
0.8,515.06928,891.0
0.8,595.7582400000001,891.0
0.8,566.96112,891.0
0.8,552.0778560000001,891.0
0.8,532.6326720000001,891.0
0.8,1057.1294400000002,1569.0
0.8,1045.5816000000004,1569.0
0.8,1034.0337600000003,1569.0
0.8,1022.4859200000001,1569.0
0.8,1010.93808,1569.0
0.8,1034.0337600000003,1569.0
0.8,1011.44016,1569.0
0.8,1000.14336,1569.0
0.8,988.8465599999998,1569.0
0.8,1034.0337600000003,1569.0
0.8,1011.44016,1569.0
0.8,1000.14336,1569.0
0.8,988.8465599999998,1569.0
0.8,1034.0337600000003,1569.0
0.8,1011.44016,1569.0
0.8,1000.14336,1569.0
0.8,988.8465599999998,1569.0
0.8,1034.0337600000003,1569.0
0.8,1011.44016,1569.0
0.8,1000.14336,1569.0
0.8,988.8465599999998,1569.0
0.8,1034.0337600000003,1569.0
0.8,1011.44016,1569.0
0.8,1000.14336,1569.0
0.8,988.8465599999998,1569.0
0.8,1034.0337600000003,1569.0
0.8,1011.44016,1569.0
0.8,1000.14336,1569.0
0.8,988.8465599999998,1569.0
0.8,1143.2784000000001,1770.0
0.8,989.784,1770.0
0.8,836.2896000000001,1770.0
0.8,862.344,1770.0
0.8,1091.1696,1770.0
0.8,1015.8384000000002,1770.0
0.8,963.7296,1770.0
0.8,888.3984,1770.0
0.8,1117.2240000000002,1770.0
0.8,1143.2784000000001,1770.0
0.8,989.784,1770.0
0.8,836.2896000000001,1770.0
0.8,862.344,1770.0
0.8,1091.1696,1770.0
0.8,1015.8384000000002,1770.0
0.8,963.7296,1770.0
0.8,888.3984,1770.0
0.8,1117.2240000000002,1770.0
0.8,1143.2784000000001,1770.0
0.8,989.784,1770.0
0.8,836.2896000000001,1770.0
0.8,862.344,1770.0
0.8,1091.1696,1770.0
0.8,1015.8384000000002,1770.0
0.8,963.7296,1770.0
0.8,888.3984,1770.0
0.8,1117.2240000000002,1770.0
0.8,1235.8000000000002,1670.0
0.8,1184.1856000000005,1720.0
0.8,1095.5040000000001,1740.0
0.8,918.9840000000002,1770.0
0.8,1050.8000000000002,1420.0
0.8,1074.0288000000003,1560.0
0.8,963.2880000000001,1530.0
0.8,778.8000000000001,1500.0
0.8,954.6,1290.0
0.8,721.688,1390.0
0.8,1043.4,1410.0
0.8,1036.0,1400.0
0.8,902.8000000000001,1220.0
0.8,1041.18,1407.0
0.8,1275.0200000000002,1723.0
0.8,954.6,1290.0
0.8,1001.22,1353.0
0.8,1040.44,1406.0
0.8,1493.2736,2080.0
0.8,1447.3472,2080.0
0.8,1378.272,1960.0
0.8,1329.0480000000002,1890.0
0.8,1160.28,1650.0
0.8,1172.424,1650.0
0.8,1477.9648,2080.0
0.8,1447.3472,2080.0
